Epoch,Loss
1,2.8936550239544085
2,1.550376172546688
3,0.9836311821094559
4,0.7082500028557351
5,0.5638878072440491
6,0.476795867293873
7,0.41448561158096725
8,0.3690957038279544
9,0.3324490596699264
10,0.30227577633669844
11,0.2762589448027711
12,0.2553730431698945
13,0.23555579446466066
14,0.218805961770049
15,0.2027017315479723
16,0.18892213170374003
17,0.17570388099787768
18,0.16585733715164633
19,0.15457575706867738
20,0.14454569612042276
21,0.13646245219126538
22,0.12851518186557898
23,0.11986409652833556
24,0.11290954900428551
25,0.10671268619444861
26,0.10109148094392939
27,0.09427549492344028
28,0.08797954991886076
29,0.08332463499040679
30,0.07860991966097344
31,0.07406674848523422
32,0.06885128281947751
33,0.06557784431608915
34,0.061505247247542215
35,0.057622898311607336
36,0.054346273817859156
37,0.05020873844272938
38,0.048238390438097654
39,0.04641714418174264
40,0.0436921985868478
41,0.040469413000318206
42,0.038944722743883255
43,0.0367469490894322
44,0.03550642493568874
45,0.03412719436311473
46,0.03118753440950804
47,0.03089643014401733
48,0.028735212338468166
49,0.027500036176302763
50,0.027565698126420127
51,0.025600055115418824
52,0.024522518315962097
53,0.022927372622506072
54,0.023381940081742714
55,0.02176615150445872
56,0.021626480091878737
57,0.01983269682419666
58,0.020368830929820628
59,0.01872729849809538
60,0.01841835226165098
61,0.017903426779500582
62,0.016814826677794062
63,0.01695935683631746
64,0.01554424599713609
65,0.015495485696953339
66,0.01516256561813169
67,0.015655847594831167
68,0.014844012837284728
69,0.014040668464532204
70,0.013877371729778331
71,0.013599802180681396
72,0.012734043276639816
73,0.01342118376326727
74,0.012148098391921127
75,0.013080820773257272
76,0.012612439761311421
77,0.012439366608881152
78,0.011581375619570322
79,0.012109956297507277
80,0.010920577633506961
81,0.010899082049348167
82,0.010675588030709624
83,0.010994944163326578
84,0.010692702339283176
85,0.009844299895288157
86,0.009954211486639494
87,0.011560095766636986
88,0.009730678147650525
89,0.00953443988475531
90,0.009444283934204555
91,0.010814822356283359
92,0.009624227376922494
93,0.010632711333039765
94,0.010590948771433467
95,0.00950791432171336
